@relation Train
@attribute Lemmatized string
@attribute subtask_c {IND,OTH,GRP}
@data
'quick blame democrats blame obama blame control blame blacks blame democrats',GRP
'correct liberals easy figure make america great liberal woman',GRP
'move north find authoritarian control want countries ownership work good luck',OTH
'fuck antifa fuck going',IND
'bill clinton raping killing cool',IND
'years thats correct sociopath stuck United_States #winning',IND
'start kneeling talk getting deep america liberal nuts throwing',GRP
'thought worse thought shooting liberals streets',GRP
'well keep',IND
'fuck bitch needs class cant someone liked tweet dont matter place decide life throw wasnt issue done issue',IND
'forgot people ignorant enough think serious',GRP
'special together vote crimes remain secret child abuse documents remain secret national security nothing national security',GRP
'couldnt hear shit literally spoke hand',IND
'company company sucks dont know beat sucking',OTH
'well thats going send fake main media left liberals behind powerful world moment history #qanon everything weve told expect #wwg1wga #maga #mbga',GRP
'fucking umpire player abusive',GRP
'liberals last thing need good thing military traitor government',IND
'lower dumbest people country anyone voted idiot',IND
'secret service irresponsible trying kill president',IND
'eric holder guilty killing border officer',IND
'busy hair realize tweets stupid kind',IND
'liar probably soros',IND
'done looking nazi bigot stay true people change minds left know arent bigot followed reason post stuff time feel left',IND
'pile_of_poo conservatives much better memory liberals dont eyes full hypocrisy',GRP
'blatant threat antifa base violence #wakeupamerica',IND
'another crazy liberals',GRP
'longer remain silent issue looks clapping_hands',IND
'liberals want',GRP
'absolutely correct question better liberals congress ones make business money &amp power',GRP
'finally holy shit finally reading',IND
'people guess every person president trump likely liberals speak everybody',GRP
'favorite part left leaning people believe accusations face value comes sexual comes keith ellison whos thanks conservatives christian',IND
'liberals using sexual assault claim political tool',GRP
'conservatives lose court ruling bitch activist judges agenda judges anyone court ruling accept lost court ruling conservatives babies',GRP
'according maga kavanaugh couldnt attempted rape ford lawyer made idiots',GRP
'know trash worried blaming shitting death shes responsible instead',GRP
'fake',IND
'maga spend &amp stop whining',IND
'research racist history control',IND
'figures wrong idiots thank',GRP
'another judge first blames tool wants make dangerous guess know control',IND
'proof ford shut credible',IND
'#liberals destroyed rest country dont belong area grown belong',IND
'fucking liar happy play asked',IND
'liberals full love give become devils minions vote socialist agenda',GRP
'disgusting',IND
'hahaha losing money still dumb know',IND
'liberals still',IND
'started even worse conservative',IND
'another liberal used democrats attempt kavanaughs confirmation dont believe word liberal friends enemy state leave america better without people liberals',IND
'fake queen',IND
'religious conservatives need stop trying shame women disgraceful',IND
'heard street gave shit',IND
'arent speaking still records theresa destroyed home prime',IND
'dont knew emails released knew release standing called senator call fake news calls',OTH
'surely didnt anything reputation another department',IND
'nail',IND
'trump wins 2020 growth crazy liberals still obama years argument lost left facts',IND
'another insane next real famous black president former first black lady freedom speech',IND
'helped social suicide',GRP
'ones attacking anyone liberals',GRP
'time twitter people making amount seems someone propaganda likes screwed trump',IND
'spoiled goes shes',IND
'repulsive',IND
'desperately trying &amp wanting trump doesnt care trump',IND
'tears first time daddy called took room',IND
'sucks honestly least full',GRP
'control laws waste time &amp energy better spent holding worthless politicians accountable enforce current laws create laws never enforce',GRP
'never asshole cant sure never actually someone whos people yeah seems',IND
'youre piece shit saying successful helping puerto rico hurricane people died think thats successful really soul youre fucking horrible human dont even think youre human fuck',IND
'pathetic',IND
'control seems missed brains',GRP
'youre irresponsible &amp believe smart enough understand evil press investigated thing know youre wrong thats evil',IND
'liberals kinda worst',IND
'liberals preach control stupid guns',OTH
'violent liberal antifa party heart woman theres around hoods beating strangers &amp violent corrupt party',GRP
'youre proper country girl',IND
'moore elected liberals never learn trump',IND
'cowards aint ready #maga United_States',GRP
'didnt dont support response easy race bring trying willing black people make',IND
'niggas anything',GRP
'damn shame delusional gotta worst even',GRP
'deep corruption puerto government cause sent &amp dont &amp power system likely puerto government fault',IND
'liar anything trump says mueller three dishonest liberals &amp mueller elect believe truth really believe trump american people stupid enough fall stupid',IND
'shit left little youre still drop paper heart',IND
'uncultured',IND
'shes shit despite voice crisis said come &amp',IND
'keep saying fast furious holder planned control weapons criminal sounds great justice department work anyone including criminals agenda instead people',IND
'funny shit',IND
'going well along liberal friends felt need trash people arent stupid suppose #maga &amp',IND
'soros needs investigated kicked nations &amp name keeps coming antiamerican groups antifa pays folks crazy trump events know hates constitutional rights',GRP
'proves always sabotage person actually gave chance records white house someone looking sell later shes snake',IND
