@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'reading dear alive still talking control peopl',OTH
'crazy things liberals blame trump #tcot #maga #rednationris',GRP
'antifa know seriously stupid th',OTH
'jobs dont want might even office might',IND
'posting illegal border soon started racist racist instead standing believes conservatives shouldnt pick',GRP
'dont forget terrorist obama around listen',IND
'said wasnt attack',IND
'imagine married crazy good',IND
'liberals 2019 heads poor leader even',IND
'term added list fuck terms term',IND
'right create thin legislation even fight',IND
'teaching public schools communists terrorists &amp',OTH
'looking hard heads look republican congress',OTH
'really issue liberals',GRP
'call cause bone nigga',IND
'kavanaugh needs stop lying believe womans account credible going able',IND
'nothing attention start talking real issues racial sensible control prison issues',IND
'russia',GRP
'chosen leader fuck christian claims lies defend chosen',GRP
'clinton cant stand woman anything stands believe even dangerous liber',IND
'bitch',IND
'yeah bitch back beat sorry asses suck blew lead lmaoooo',IND
'whats state (and republicans refuse govern conservatives campaign kind need sick losers keeps',GRP
'fuck',IND
'trump interest safety country doesnt care control shooting country doesnt care selfish person everyth',IND
'liberals think world',OTH
'believe women even cant even offer specific women liars know liberals hypocrites stay least',GRP
'thats look charge bullshit almost',GRP
'watching kept looking face_with_tears_of_joy good allowed shit play time face_with_tears_of_joy face_with_tears_of_joy',IND
'liberals stupid shit trump order isis think people murder killed',GRP
'voted together crazi',IND
'false constitutional rights honest americans nothing violent crime control violence citizen',OTH
'lost needs jesus christ latin_cross',IND
'nigga going next week',OTH
'supreme court judge conservatives',IND
'bastard',IND
'comes pain united_states united_states united_states united_states #wwg1wga',OTH
'aw',IND
'unless good accused rapist sitting highest land sure female love hear explain away',IND
'democrats liberals shit',GRP
'#liberals sort show still car',GRP
'least brains fall first place conservatives believe everything',GRP
'arent conservatives left california perhaps threats calls antifa lucky',GRP
'conservatives vote stupid',GRP
'security paid protect trash crazy peopl',GRP
'going jail',IND
'replace chris collins anyone #tcot #maga #rednationris',IND
'fact called told damn proves',IND
'state chicago many strict control law',IND
'shes thinks important female society real women',GRP
'first practice give serena looking silli',IND
'message going antifa members killed open carry nuts feel someone trying kill taking defend probably face jail someone st',GRP
'making conservatives sick cant make plac',GRP
'find offensive know black people feel black born america want build stuff conservatives dont rules build',IND
'left doesnt care women political gain story different democrat #walkaway #maga',GRP
'conservatives keep getting exposed child thats theyre abortion victim',GRP
'liberals full hate',GRP
'women didnt know anything accusation sounds cover planned disgrace office hold',IND
'wearing woman says police records tired liberals thinking ruin someones life dont trump',IND
'good luck dont follow along fascists #resist movement apple google know happened dont need hate #antifa wrong',GRP
'support fight justice hold responsible accountable hypocrisy beyond moral standard outrage hide behind control leftists propaganda sham',OTH
'pile_of_poo',IND
'sorry ignorant tweet something without research ones arrested people care enough happening heard',IND
'bias made #maga racists watch',GRP
'gutierrez people died puerto rico gutierrez racist',IND
'bitch stfu',IND
'amendment half sorry away',IND
'sleazy greasi',IND
'please john away incapable report',IND
'bitch lmao',IND
'crazy freaking liber',GRP
'fucking serious talk father born ridiculous youre idiot think left antifa stands right w',IND
'thing dems think monster turn first #maga #wwg1wga antifa terrorists backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down',IND
'liar always liar people puerto rico lives govt officials sent miss reported death hurricane stop li',IND
'meant indeed fuck',IND
'shit phone bono never',IND
'united_states united_states united_states #maga pervert supreme',GRP
'happen played sister serena beat head tennis tell sister',IND
'look liberals destroy mans lif',GRP
'shocking consider country wants smart control wild wild',OTH
'shes fucking bitch queen crown crown crown crown',IND
'awful',IND
'actually seems specific appears saying opposing control covering child catholic church',OTH
'consider supreme',IND
'everyone washington including john corrupt running light',OTH
'high school well someone said must true resign #thursdaythoughts #maga #resist',IND
'following orders little',IND
'creep believes gods polit',IND
'democrats control mass shootings democrats liar',OTH
'think going burn next',IND
'fuck',IND
'going #maga #walkaway make',OTH
'shit',IND
'yeah need better mental health thats stronger',GRP
'school stupid ideas left idea free college idea wonder conservatives call going schools book smart crazi',IND
'real american watch crap',OTH
'open case john kerry obama &amp bless trump #maga #kag',IND
'#qanon liberals throwing shit everyth',GRP
'forgot bullshit drinking',IND
'people guns control',OTH
'right conservatives authoritarian fascism right wing politics taxpayers deal',IND
'think going probably back pocket good luck getting anything done control seriously need country need background checks least',IND
'thats black referring group different white people calling conservative term thinking stuff antifa word quite search',IND
'phony opportunist look millions making people lets millions help well peoples money money',IND
