@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'took long beast',OFF
'michael moore needs move country promis',NOT
'think michelle democrats plans civil liberals',OFF
'perhaps going talk collusion campaign investigation trump plenty illegal clinton campaign',NOT
'everyone clearly qualified voted accord',NOT
'following #maga patriots please follow back thumbs_up #maga2kag united_st',NOT
'never happen taking american liber',NOT
'first round shitty decis',OFF
'working save country setting flag fire justice fire #lockherup #maga',NOT
'liber',NOT
'stand right rino',NOT
'condemn #antifa',NOT
'hard know lips stop nike begin',NOT
'confused paul proven play trying remain competitive time steady',NOT
'dress weapons make walk night calling drug',OFF
'guys page censored cant find site search direct link according post basically leav',NOT
'counting save conservatives leading country falling economic close help',NOT
'dont forget soon talk control',NOT
'follow',NOT
'paying attention know bite',NOT
'lies jail everyone lies telling truth nothing',NOT
'sourc',NOT
'well lets kick light #maga #wwg1wga #kag',NOT
'even london dont conserv',NOT
'',NOT
'powerful woman earth fuck',OFF
'fuck',OFF
'liberals puppets #tuesdaythought',NOT
'antifa',NOT
'changing world',NOT
'cheers matey clinking_glasses clinking_glass',NOT
'liberal work conservatives depend support little hear getting (and free protest',NOT
'conservatives want submit friends trudeau stand ground stand canada',NOT
'happen support control help',NOT
'course young dumb really brain wouldnt believe',OFF
'loudly_crying_face good game niggas working',OFF
'guys spent best part years obamas birth hypocrisy conservatives seem',NOT
'thinking',NOT
'cant believe control',NOT
'maga thumbs_up keeping america great thumbs_up',NOT
'small needs someone clear beach',NOT
'california creepy fake driver tries follow woman home #maga #kag #california',OFF
'kiss prince bought lost place world troll lov',NOT
'cours',NOT
'head flick taking criticism weak incompetent authoritarian',OFF
'know good well tried explain control military base proof grabbing laws wont shit look fort hood',OFF
'horseshit',NOT
'care nothing conservatives kind terrible true leadership needed irish border result lives lost',NOT
'beto control stand',NOT
'wonder false flags expecting #greatawakening #qanon #maga',NOT
'give heaven #bbc #lbc #labour #usa',NOT
'manafort street long time knows things deep dark things agree gonna burn folk mueller already knows wants manafort gonna g',OFF
'think maybe little research',OFF
'rino speaks trump policies calling trump handling issues control thinks dont #foxnew',NOT
'lucky people needed share fellow levis jeans another reason love levi',NOT
'statue liberty left gone',NOT
'sorry andrew policies close liberals policies dont seem',NOT
'hair wants part concept promote using music video things planned well hand leaving part actually says dont listen',NOT
'know',NOT
'sounds joined #antifa state recently took anti #police stance wont sign enforcement officers #police competition #maga #kag',NOT
'running team tel',NOT
'dont live people comfortable still bring best',NOT
'phrase #neveragain order exactly opposite originally stood',NOT
'doubt progressive nazi antifa liberal democrat',NOT
'dont really need virtue signal liberals wasting taxpayer dollars enough argu',NOT
'altright losers power dont matter many rightwing fund antifa attack altright russian intel funds antifa altright russia onto something altright',NOT
'arrest everyone antifa block road',NOT
'proud sweet red_heart',NOT
'mean doesnt last forever playing contract',NOT
'excellent tim',NOT
'good list keep go',NOT
'couldnt catch letting bitch talkin bitch dirt',OFF
'political give killing half profits conservatives united_states #kag',NOT
'james neck deep confirmation bias unable logic reason point',NOT
'deaths weekend caused guns chicago strict control law',NOT
'shitty 100% second carry 100% control except violent',OFF
'conservatives class andy failed day',NOT
'must',NOT
'keep good work ignore haters attack good ladi',NOT
'#conservatives left #congress passes spending bills #tcot',NOT
'dont mess niggas george gonna',OFF
'started hitting wall shit aint nothing wall getting door',OFF
'laughs conservatives view suddenly outraged support democrat',NOT
'getting loud',NOT
'admit 3000 americans died watch remind presid',NOT
'fuck ride babi',OFF
'good person turns people crimes satan made satan wouldnt turn child progressive pope think',NOT
'abortion considers abortion murder chelsea doesnt &amp probably doesnt even church',NOT
'funny never heard speak antifa time',NOT
'alex',NOT
'used program',NOT
'seen former democratic fight president much know youve corrupt guilty abuse power times presidential cabinet',OFF
'#tories #labour #ge2017 #conservatives conservatives theresa_may three fantastic conservative candidates mayor london proud advocates london',NOT
'hope',NOT
'read title already know whats coming support common sense solutions violence violence different violence firearm common sense control chicago london',OFF
'somebody something show sucks anymore good though',OFF
'#peoplesvote #stopbrexit #remain dont want either know leave going used better stayed useless',OFF
'know best back team keep head',NOT
'maybe antifa race &amp slam others butt',OFF
'yeah &amp criticism crying blocking instead accepting cool folks',OFF
'makes think liberals nothing liberal people spent insulting liberals publicly black activists openly attacking deal liberal part passed polici',OFF
'fuck theyre trying looks somehow deserved shot',OFF
'claims assault rape political weapon',NOT
'come beta liberals lmao',OFF
'sucks living life full bullshit rules gotta suck',OFF
'connections crap twitter forces conserv',OFF
'aint shit done today',OFF
'typical violent antifa stalking california causing',NOT
'know well #scotus lifetime dont puppets #maga &amp #kag #confirmkavanaughnow #maga #kag',NOT
'laws conservatives unpopular group media women long failed women feminist movement bill clinton',NOT
'well remember cops stood watched antifa thugs armed &amp spray attacked trump rally goers following orders thats soldiers &amp cops soldiers follow orders &amp cops protect paycheck',OFF
'nothing lefty media people made sure hill taken even conservatives remove thatcher leader almost signed even extremely hostile',OFF
'totally fair times happened serena important grand slam matches slam shed emotional shoes every match expected clear shes handling well anymore match',NOT
'hope well thats fucked seriously fuck wrong control issue though right thank live canada feel brutal attacks seriously wont away',OFF
'talk feinstein kavanaugh answer handle specific case seems rule important specific answ',NOT
'following patriots pleas',NOT
'thats good getting hard find know people belong control abortion thats politics christ',OFF
'ouch hurt well anyway',NOT
'good',OFF
'good taking page book hiring high power woman leadership good leader maybe wouldnt position #metoo #maga',NOT
