@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'sexual assault agree said picking foot turning pushing cock',OFF
'becoming woman',NOT
'done time liberals want govt elsewhere going defeat every defeated prepared',NOT
'realize conservatives decide certain pass sexual assault',OFF
'connection wasnt random shooting',NOT
'called liberals want liberty media acceptable positive society',NOT
'tell beautiful time beauty comes',NOT
'truth statement lies',NOT
'sucks least',OFF
'hope feeling better soon',NOT
'entire article piece trash full pigs',OFF
'dont hope next tyler final wins petty',OFF
'maybe youre running away expert girl assume demand proof provided provided terms lost nice',OFF
'antifa boot camp face_with_tears_of_joy',NOT
'likely gang related violence illegal strict control cities',NOT
'looks less getting shes getting dinner',NOT
'compare countries youll always find stricter control lower murder rate pattern democratic freedoms',NOT
'except control',OFF
'desp',OFF
'loudly_crying_face smiling_face_with_hearteyes',NOT
'guilty criminal behavior &amp know folded_hands_light_skin_tone &amp getting truth #maga',NOT
'#labour british conservatives made grave protecting orban',NOT
'shes wearing hero completely invisible',NOT
'give desperate spread hate &amp send love victim lost humanity stop think trying achieve look want start innocent peopl',NOT
'liberals kavanaugh best',NOT
'dont muslim racist questions',OFF
'insult injury 100% empathy',NOT
'control laws healthcare',NOT
'hope beat',OFF
'least youve type fucked',OFF
'grab difference home smoke means release dont know whole story browns release legit number',OFF
'',NOT
'continues look government spending part focused funding made summer #cdnpoli',NOT
'lady real trump rich doesnt need payers still payers money',NOT
'mean dont share usual view amendment constitution liberals change times',NOT
'fuck',OFF
'lmao getting brave skull stay',NOT
'good luck',NOT
'student loan bill help hundreds thousands lower rates cost taxpayers losing election desperate politician democrats might want steal issue',NOT
'didnt work maybe needs',OFF
'played beta last night company mind shit fucking awful fine hell bright makes',NOT
'trump liberals scream bloody hell open transparency',OFF
'still think',NOT
'control laws',NOT
'control',NOT
'stop playing babe know love talk trump antifa dress going tonight',NOT
'yeah real uncle',OFF
'antifa girl berkeley blow kiss shes going',NOT
'liar clarence thomas confirmation never always delay liberals game call politics',OFF
'loudly_crying_face bitch',OFF
'altleft crazy numerous women dems left lies name liar',OFF
'agreed saying',NOT
'dont release names elected officials paid silence sexual assault claims done office fund paying claims ford know home maybe attack happened took home',OFF
'referred potus “the “the letter',NOT
'fake different guys',NOT
'theyre dying party split nationalists conservatives isnt going hold much longer real ideology anymore simply team better team',NOT
'funny anyone disagrees wrong guess everyone left wrong always right even facts sometimes saying',NOT
'anyone concerned mass killings control unconstitutional especially first years century alone killed million people control”',OFF
'showed exactly love views normal intelligent people disgusted tactics loved laughed face',NOT
'even pedophiles interviews tell stop kill pedophiles even admit prison offend thats keeps alive prison hope another opportunity innocent child sick',OFF
'believe years went boys school stop confirmation blew face corrupt',OFF
'shows scared liberals going constitution &amp bill rights honestly believed made todays courts trump #maga &amp deplorables helping',OFF
'dear conservatives',NOT
'rest countries catch policies know',NOT
'nasty bitch',OFF
'better #maga',NOT
'start showing might',OFF
'yeah keep mocking right vote',OFF
'hoping joke #antifa morons clue many people carry guns stunt make lethal threat states math happen silly',OFF
'typical nothing move along trump supporters days thing shit trump getting called nothing move along',OFF
'guess white guys kinda look winking_face',OFF
'wasnt hurricane comparing apples &amp',NOT
'dont mind going long safe protected',NOT
'havent know actually antifa members right pretending violent antifa make people think dangerous thinking_face',NOT
'liberal along antifa #voteredtosaveamerica',NOT
'cause democrat',NOT
'thank money american workers pocket jobs available breaks middle class live neighborhoods schools built handle people coming fill jobs',NOT
'made lying cheap filthy whore whose lies help undermine real women sexually assaulted trashy liberals cares right long justify means trashy libs tried thing judge thomas democrats sick',OFF
'strictest control laws country saying goes guns criminals seems proving chicago',OFF
'youre baby proud working hard thank still youre sweetest two_hearts two_hearts dont',NOT
'david stop connections true journalists',OFF
'acceiv',OFF
'bitch dont message',OFF
'whenever vote makes think liberals trying rally voters historically much lower numbers think hell might vote republican',NOT
'crying loudly_crying_face loudly_crying_face',NOT
'spell face_with_tears_of_joy face_with_tears_of_joy',NOT
'congrats love proof enough courage literally overcome anything thank hope everyone yellow_heart',NOT
'think doesnt want',NOT
'beautiful always',NOT
'bullshit',OFF
'stupid',OFF
'trump talk finding collusion stories nothing collusion know found',NOT
'basically people fear know thats stole scare people',NOT
'still trump train',OFF
'andrew position control canada',NOT
'many issues facing australian voters single obsession australian conservatives bullying children',OFF
'trump publicly daughter still elected lets stop pretending morality decency means jack shit conservatives',OFF
'enforcement gets carry around semiautomatic guns make judgment calls lives dies based race control arguments never account police brutality',NOT
'talking',OFF
'crazy people dont care suppose leftist says wasnt sounds youre disappointed didnt scream control',OFF
'whos loser bitch fuck #maga',OFF
'lmao joke',NOT
'teachers students wisconsin winchester pumpaction shotgun blames control law',NOT
'glad watches',NOT
'#maga baby',NOT
'youve liberals grasp anything attention sure enjoying watching meltdown',NOT
'never expect',NOT
'anger doesnt make lies taking knee true sorry loss',NOT
'tactic conservatives decided advocates attempting weapon people open carrying open carry hopefully likely result fired upon party',OFF
'fuck give many chances matter talented',NOT
'says little commie rate',OFF
'going massive heart attack never find election went',NOT
'seriously despicable even look kids',OFF
'source thats whole deal theyre young dumb history major conservatives whove hand wave assume without evidence lame',OFF
'think feels story trap people nuts control cruz fire base claiming want away rights couple',NOT
'hard believe female liberals personal political gain',OFF
'',NOT
'still know',NOT
