@relation Train
@attribute Porter string
@attribute subtask_b {UNT,TIN}
@data
'niggas anyth',TIN
'date best bett',UNT
'damn shame delusional gotta worst even stan',TIN
'deep corruption puerto government cause sent &amp dont &amp power system likely puerto government fault',TIN
'liar anything trump says mueller three dishonest liberals &amp mueller elect believe truth really believe trump american people stupid enough fall stupid',TIN
'shit left little youre still drop paper heart',TIN
'uncultur',TIN
'shes shit despite voice crisis said come &amp',TIN
'keep saying fast furious holder planned control weapons criminal sounds great justice department work anyone including criminals fill agenda instead peopl',TIN
'funny shit',TIN
'going well along liberal friends felt need trash people arent stupid suppose #maga &amp',TIN
'soros needs investigated kicked nations &amp name keeps coming antiamerican groups antifa pays folks crazy trump events know hates constitutional right',TIN
'proves always sabotage person actually gave chance records white house someone looking sell later shes',TIN
'sure democratic political play',TIN
'#qanon really antifa merch allowed constitution means nothing well done time merch #wwg1wga',TIN
'million sign didnt vote asshol',UNT
'conservatives spreading',TIN
'masks hurt disappointed politics dirty business move make difference hillary lost many people last election involved',TIN
'#usa feel pain even #liberals gotta wealth serve identity politics destroyed yall never catch bill million dead kids',TIN
'think choice stay shit',TIN
'antifa fascists socialists respond',TIN
'speaking crazy lady supports antifa still called fascist literally asking friend whos constitutional',TIN
'satan call home',UNT
'indeed americans need control means hitting target never much time',UNT
'hilarious good',TIN
'crap running country idiot cant country alternative long running labour parti',TIN
'still blue check mark account thinking_fac',UNT
'death threats antifa turned maxine',TIN
'abuse power crap gang pulled fast furious bring control strict amendment dont worry justice coming band',TIN
'sounds',TIN
'american prove roger goodell right whatever wants youll youll never give #qanon #maga #wwg1wga',TIN
'shit aint gone work bruh',UNT
'really maga vote trump 2020',TIN
'fair democratic process republic sham delay vote shameful #drainthedeepstate #maga',TIN
'disgusting anti canada traitor',TIN
'irresponsible least know',UNT
'many videos antifa attacking disabled people want disabled attack three antifa disabled',TIN
'funny obama starting talking control shootings started happening',TIN
'lock fight game constant shit talking team team still fighting help',TIN
'acting good view',TIN
'holder responsible selling guns another obama administration break',TIN
'cant explain thats good youre talking shit',TIN
'reaction conservatives male male years come forward sexual assault cant person accused going judge &amp stay',TIN
'problem trump playing dems neither trump authoritarian trump leaning goal hate part whole life brought',TIN
'nasty liberal prime example brain',TIN
'kind dumb shit gonna read next',UNT
'vile woman',TIN
'maga getting wasnt damn',UNT
'wouldnt trust liar president doesnt trust eith',TIN
'still shit kind woman supports liar racist pussy kind woman',TIN
'ready trump administration isnt going shit well white county youre good county hide kids hide w',TIN
'need female weapon protection kind girl need much protection wrong plac',TIN
'hope youre right last part stupidity conserv',TIN
'theyre still building hiding yeah played',TIN
'proved control laws doesnt stop anyone willing break easily shot student several enforcement laws criminal minds laws real problem democrats know',TIN
'schools read ammo warning label',TIN
'college educated professor bullet',TIN
'sport',TIN
'awesome agree yeah preach wait read shit',UNT
'first thing black call using race card shows racist maybe woman next',TIN
'sorry damn',TIN
'race nothing either fake maga ignorant either block',TIN
'bruh lmaooo',TIN
'still crowd protesting conservatives middle night power grab shame conservatives kind party election rather working citizens create healthy economy',TIN
'thing know control great',UNT
'saved saved party member save sure motives shes still pretty',TIN
'burn remember first didnt burn outside dont house wait find levis pushing control nazis',TIN
'ways president trump lose 2020 control immigration bill wal',TIN
'liberals liberal comes state rolling_on_the_floor_laughing rolling_on_the_floor_laugh',TIN
'whoever',TIN
'dont care field',TIN
'dems playing game must antifa dont think',TIN
'thought dream team minus sonja really mean disgusting team minus sonja leave sonja alone sonja kind sweet much drunk',TIN
'stronger &amp cronies death gitmo people indeed stronger #maga #draintheswamp',TIN
'trying boys hang block everyday',TIN
'want live point waters sending antifa minions threaten public learn give f*ck left thinks night night',TIN
'arms wasnt neither boobs bodi',TIN
'think women character bomb destroy liberals hate know women represent wait years report',TIN
'puppet',TIN
'word &amp left wing nobody touch &amp cause',TIN
'yall need know human knew many years shes doesnt post something prove fault died damn stop blaming poor girl kil',TIN
'wouldnt doubt anything unhinged witch professor mentally business teaching antifa member soros going thing mental',TIN
'hiding',TIN
'jeff respect please vote brett dont right thing lied hiding documents thinks trump wrong',TIN
'drugs maybe know',UNT
'build wall vote republican perfect long shot much better alternative antiamerican',TIN
'gross',UNT
'democrats wonder democrats think control tim',TIN
'conservatives sick tactics liberals first thomas republicans keep taking wont long though',TIN
'wish folks luck think youre fucked though never enough folks elected california turn control guns already tell &amp many guns ammo whats left',UNT
'desperate saying report shame says nothing another antifa pussy doubt',TIN
'fucking stories loudly_crying_face loudly_crying_face purple_heart purple_heart purple_heart',TIN
'stating opinions comes attack using boobs person know bett',TIN
'even supporters right country well supporters cant eith',TIN
'doesnt want face responsibility actions wrong without taking account shit',TIN
'sometimes bitch boys straight abusive thin line walk doesnt walk',TIN
'love someone send liberals morning keep fight united_states united_states united_st',TIN
'perhaps look investigate hiding offenders always stick togeth',TIN
'bring back shes gone',TIN
'mother never think least mean something idiot wasnt watching idiot blind',TIN
'zombi',TIN
'think safe donald clueless everything ignorant &amp lies much knows everything &amp save treason',TIN
'looks conservatives made back room deal best known always playing dirty polit',TIN
'amazing elected public office total constitution process woman woman refuses come conservatives fault',TIN
'afraid made public entire obama',TIN
'mentally shooter cause need wall control',TIN
'tight face_with_tears_of_joy',UNT
'matter vote left control black music violent lmao sleeping fool',TIN
