@relation Train
@attribute Lemmatized string
@attribute subtask_b {UNT,TIN}
@data
'maybe drop angry something funny everyone political jokes dont think',TIN
'bitches brain',TIN
'glad think know kick always back knows best thats awful live child experience things shitty people allowed near',TIN
'agreed probably white people screaming offensive wish brother wasnt forced twitter army remove said offensive things',TIN
'dregs society make sure never president',TIN
'activist liar wants oath wont kavanaugh gets nominated',TIN
'good morning followed back lets give crazy liberals hell',TIN
'pornhub',UNT
'perhaps house runs leader used think friend true',TIN
'thats talking shit defending many intelligent minds held propaganda read documents deep know funds',TIN
'thats shitty',TIN
'crook',TIN
'kind need control really stupid',TIN
'screwed hearing dream liberals think happens trump gets removed',TIN
'fuck',UNT
'little',TIN
'comedian',TIN
'boobs forget red_heart',UNT
'selfish come',TIN
'state kids protesting amendment youth took place young demand govt away name control',TIN
'metoo innocent continue lets kavanaugh fraud fight fire fire time male watch stop',TIN
'organization babies scream need control violence children somehow thousands innocent babies every lines',TIN
'empty whore',TIN
'great wife reason animals crazy liberals something complain',TIN
'conservatives killed hundreds people result conservative policies figures gordon brown thats shes stealing national health service attacks',TIN
'notice angry #maga losing vote #maga whine',TIN
'shes drunk shes tired took sleeping silly',TIN
'proven control lower deaths youve chosen ignore accuse without proof proof used states mentioned going continue ignore asking',TIN
'another plane',UNT
'michael moore face',TIN
'years pathetic',TIN
'holder prison',TIN
'even make tell control nothing stop rate',TIN
'totally disgraceful name',TIN
'maybe fine people president talking antifa isnt left theyre left anti fascist movement lump left antifa lump right nazis vote',TIN
'great',TIN
'maga white people',TIN
'dont even know subject side class disagree fool',TIN
'hell talking still dont know conservatives',TIN
'past control board show super cheap',TIN
'evil',UNT
'damn',TIN
'thats biggest question away amendment left believe control worried expected keep giving haters',TIN
'shes idiot think moment',TIN
'trump sounds great another much rest world hates #maga #wwg1wga #draintheswamp',TIN
'close &amp funding peoples lives &amp sensible control attempting defend planned time back intelligent education &amp fucking stupid',TIN
'liberals guilty youre conservative',TIN
'liberals means never wrong liberals trump',TIN
'group name case lazy instead winking_face',UNT
'niggaeyes',UNT
'liar',TIN
'help doesnt help doesnt work poverty time high help doesnt thanks nothing',TIN
'always everyone credit every posts fucking funny cares shes',TIN
'&amp maga scared white making women',TIN
'pope satan',TIN
'face_with_rolling_eyes really serious comparing positions nation slave keep proving ignorance &amp inability thought #maga',TIN
'stands says vote lying deserves played choice elected another',TIN
'shit kill animal mother',TIN
'bull crap',UNT
'agree think hated anyone life feel fact supposed leader makes stomach turn lost respect completely back allow',TIN
'look reaction second mark clown',TIN
'helping republican party unhinged',TIN
'gotta love point though result socialism socialism control chicago watching round shitty jeopardy knows damn thing anyway trump',UNT
'paying taxes crime human rights laws opinion issue anti sensible control prevent mentally people want',TIN
'video government evidence going jail #maga #qanon',TIN
'fuck drug test',TIN
'someone never played want tried year back kinda people busted fuck kinda trash',TIN
'show saying alleged rape fault pretending conservatives blaming victim rape disgusting',TIN
'antiamerican crap somewhere senate #maga',TIN
'another lying liberal many lying exposed documents liberals steal bring country stop antiamerican idiotic socialist movement vote republican november trump 2020',TIN
'destroyed america womens right child child killers illegals rights americans think wrong bill something besides liberals asses',TIN
'corrupt demented lunatic',TIN
'bitch',TIN
'liar',TIN
'girl adult conversation thin somewhere',TIN
'agreed control want people control without guns know knew',TIN
'hope fuck',TIN
'fuckbucket',TIN
'move block liberals said early vote made story slap face really sexually shows liberals really dont care true victims power first',TIN
'didnt stop taking shit glad changed still around absolutely sucks passed amazing',TIN
'',TIN
'right mind wouldnt conservatives',TIN
'damn felt shit loud',TIN
'hard hearing ar15 ar15 evil control doesnt violence armed citizens less likely become victims mass shootings banning',TIN
'another terrorist brought',TIN
'thats hilarious forget problems rolling_on_the_floor_laughing #thursdaythoughts #resist #maga #tcot',TIN
'open borders bring america dems vote life #kag #maga',TIN
'another illegal',TIN
'become party “the going bunch',TIN
'real though silly liberals tricks kids',TIN
'youre blind realize',TIN
'remember daughter married costs coward disgrace thank world hurt',TIN
'yeah start somehow turned murder',UNT
'love women believe women woman years adult reaction means hypocrisy',TIN
'know many cops trying buddy murderer',TIN
'charges good charge foreign come',TIN
'right issue democrats lying american people long seems going crazy head',TIN
'liberals think guns problem',TIN
'full shit violent crime &amp decades crime problem state &amp local problem &amp called common sense control passed federal level clueless problem',UNT
'miss williams great actor thinks miss williams order said rules apply even miss williams turning women dont bone miss williams order thats wall',TIN
'racist less population together trump great cause white skin dont need hate',UNT
'actually liberals waters antifa promote violence',TIN
'reading dear alive still talking control people',TIN
'majority world countries criminal kill replace',UNT
'crazy things liberals blame trump #tcot #maga #rednationrising',TIN
'antifa know seriously stupid thing',TIN
'jobs dont want might even office might arguing',TIN
'posting illegal border soon started racist racist instead standing believes conservatives shouldnt',TIN
'dont forget terrorist obama around listen',TIN
'said wasnt attack',TIN
'imagine married crazy good',TIN
'liberals 2019 heads poor leader even',TIN
'term added list fuck terms term',TIN
'politician country speaks',UNT
'right create thin legislation even created fight',TIN
'teaching public schools communists terrorists &amp',TIN
'cancel dont fucking dare better issue plan',UNT
'looking hard heads look republican congress',TIN
'really sickening issue liberals vicious',TIN
'call cause bone nigga face_blowing_a_kiss',TIN
'kavanaugh needs stop lying believe womans account credible going able',TIN
'nothing attention start talking real issues racial sensible control prison reform issues important',TIN
'russia',TIN
'chosen leader fuck christian claims lies defend chosen',TIN
'clinton cant stand woman anything stands believe even dangerous liberals',TIN
'bitch',TIN
'yeah bitch back beat sorry asses suck blew lead lmaoooo',TIN
